wavelength_nm,V_P,K_P_lm_per_W,V_P_q,log10_V_P_q
418.2,0.017710931165015417,12.096601577243955,0.02340298405976884,-1.6307287631853569
418.3,0.017845752345539572,12.188684714475942,0.023575497563972977,-1.6275391326518198
418.4,0.017981028600747823,12.281078668631675,0.023748529646811643,-1.624363273872532
418.5,0.01811675541643436,12.373780356499516,0.023922073975809584,-1.6212011709543708
418.6,0.018252928278393143,12.466786694867666,0.02409612422454234,-1.6180528065229614
418.7,0.018389542672418126,12.560094600524325,0.02427067407262932,-1.6149181617826907
418.8,0.01852659408430349,12.653700990257848,0.024445717205726893,-1.6117972165748093
418.9,0.018664077999843116,12.74760278085638,0.024621247315520477,-1.6086899494336973
419,0.018801989904831194,12.841796889108284,0.024797258099718167,-1.6055963376413025
419.1,0.018940325234281227,12.936280197118611,0.024973743195086297,-1.602516358444239
419.2,0.019079079220084928,13.031049448259814,0.025150695976700915,-1.5994499925301766
419.3,0.01921824704335381,13.12610135122138,0.025328109759033785,-1.59639722046816
419.4,0.019357823885199053,13.221432614692551,0.025505977862932534,-1.5933580215805603
419.5,0.019497804926732153,13.317039947362803,0.02568429361561387,-1.5903323739949122
419.6,0.019638185349064394,13.412920057921456,0.025863050350655323,-1.5873202546941294
419.7,0.019778960333307033,13.509069655057813,0.026042241407987898,-1.5843216395651007
419.8,0.019920125060571572,13.605485447461348,0.02622186013388886,-1.581336503445734
419.9,0.020061674711969204,13.702164143821323,0.026401899880973464,-1.5783648201705116
420,0.020203604468611424,13.799102452827203,0.0265823540081882,-1.5754065626145561
420.1,0.02034591045070929,13.896297724575344,0.026763217116103955,-1.5724616826907118
420.2,0.02048859253487297,13.993749874790241,0.026944488750461095,-1.569530052370797
420.3,0.02063165153681265,14.091459460603597,0.02712616969214618,-1.5666115257741215
420.4,0.020775088272238208,14.18942703914689,0.027308260721302362,-1.563705959442654
420.5,0.020918903556859825,14.287653167551818,0.027490762617331084,-1.5608132122880427
420.6,0.021063098206387458,14.38613840294992,0.027673676158892272,-1.5579331455401004
420.7,0.02120767303653106,14.48488330247273,0.0278570021239055,-1.5550656226966595
420.8,0.021352628863000815,14.583888423251947,0.028040741289551165,-1.5522105094747753
420.9,0.021497966501506604,14.683154322419057,0.028224894432270695,-1.549367673763244
421,0.021643686767758605,14.78268155710575,0.028409462327768177,-1.5465369855763604
421.1,0.02178979070547692,14.882470840174955,0.028594446050225205,-1.5437183124644234
421.2,0.021936280270422114,14.982523507415067,0.02877984786937739,-1.5409115060792102
421.3,0.022083157646365186,15.082841050346067,0.028965670351878314,-1.5381164161808796
421.4,0.022230425017076755,15.183424960487676,0.029151916061944737,-1.5353328951834508
421.5,0.022378084566327804,15.284276729359863,0.02933858756136049,-1.5325607980957572
421.6,0.02252613847788905,15.38539784848242,0.02952568740947851,-1.5297999824640478
421.7,0.02267458893553122,15.486789809375137,0.029713218163224107,-1.5270503083161457
421.8,0.022823438123025286,15.58845410355798,0.029901182377098125,-1.5243116381071258
421.9,0.02297268822414189,15.690392222550685,0.030089582603179087,-1.521583836666479
422,0.023122341422651998,15.792605657873208,0.030278421391126884,-1.5188667711466757
422.1,0.023272400121958144,15.895096051054312,0.030467701575721966,-1.5161603068745022
422.2,0.023422867603990077,15.99786564365861,0.03065742713893465,-1.5134642952170954
422.3,0.02357374737030962,16.100916827259866,0.03084760234636474,-1.5107785861918321
422.4,0.023725042922478245,16.204251993431598,0.0310382314595722,-1.5081030325565816
422.5,0.023876757762057766,16.307873533747564,0.031229318736082798,-1.505437489749536
422.6,0.02402889539060975,16.41178383978135,0.03142086842939217,-1.5027818158307085
422.7,0.024181459309695754,16.51598530310654,0.03161288478897086,-1.5001358714250097
422.8,0.024334453020877594,16.620480315296884,0.03180537206026941,-1.49749951966686
422.9,0.024487880025716745,16.725271267925912,0.03199833448472241,-1.4948726261463061
423,0.024641743825775022,16.830360552567377,0.03219177629975403,-1.4922550588565564
423.1,0.02479604815109195,16.93575071684577,0.032385702037193285,-1.4896466841412137
423.2,0.02495079764561889,17.041444932589204,0.03258011741794867,-1.487047354837967
423.3,0.025105997181785415,17.147446527676873,0.03277502845579318,-1.4844569225764412
423.4,0.025261651632020758,17.25375882998773,0.032970441158818004,-1.4818752417692371
423.5,0.02541776586875451,17.36038516740098,0.033166361529440073,-1.47930216955253
423.6,0.025574344764415977,17.467328867795626,0.033362795564407945,-1.4767375657282926
423.7,0.025731393191434485,17.57459325905069,0.033559749254808896,-1.4741812927080475
423.8,0.025888916022239618,17.682181669045377,0.033757228586075896,-1.4716332154581173
423.9,0.026046918129260598,17.790097425658626,0.03395523953799348,-1.4690932014463352
424,0.026205404384927012,17.898343856769646,0.03415378808470533,-1.4665611205901343
424.1,0.02636437990946611,18.00692445950393,0.03435288051760175,-1.464036841124093
